coffee_brand,pourover_ratio,onyx_ratio,french_press_ratio,best_method
Elixr - Wilton Benitez,0.06,0.065,0.07,hoffmann v60
Elixr - Finca El Paraiso,0.06,0.065,0.07,hoffmann v60
Vibrant - Finca La Esperanza,0.06,0.065,0.07,hoffmann v60
La Colombe - Colombia - San Roque,0.055,0.065,0.07,hoffmann v60
La Colombe - Colombia - Inca Red Honey,0.055,0.065,0.07,hoffmann v60
La Colombe - Mexico - Sierra Sur,0.055,0.065,0.07,hoffmann v60
La Colombe - Java - Tilu Mountain,0.06,0.065,0.07,hoffmann v60
La Colombe - Rwanda - Early Riser,0.055,0.065,0.07,french press
La Colombe - Brazil - Beleza,0.055,0.065,0.07,hoffmann v60
La Colombe - Nizza - Medium Roast,0.055,0.065,0.07,any
La Colombe - Honduras (Decaf),0.06,0.065,0.07,hoffmann v60
Lansdale - Decaf,0.06,0.065,0.07,any
